customer_id,customer_city,signup_date
1,Amman,2024-10-16
2,Mafraq,2023-01-26
3,Aqaba,2023-09-08
4,Zarqa,2023-05-23
5,Amman,2024-11-23
6,Amman,2023-03-31
7,Amman,2024-03-08
8,Karak,2023-01-31
9,Zarqa,2023-08-12
10,Aqaba,2024-06-01
11,Amman,2023-01-28
12,Mafraq,2023-07-23
13,Madaba,2024-12-19
14,Amman,2024-03-05
15,Amman,2024-04-04
16,Amman,2023-10-12
17,Amman,2023-06-13
18,Irbid,2023-12-15
19,Irbid,2023-06-09
20,Amman,2023-12-11
21,Zarqa,2023-04-05
22,Amman,2023-04-10
23,Amman,2023-12-19
24,Amman,2023-09-28
25,Irbid,2024-04-15
26,Madaba,2023-05-08
27,Amman,2023-03-22
28,Irbid,2023-10-28
29,Zarqa,2024-09-25
30,Amman,2024-08-14
31,Zarqa,2024-12-22
32,Amman,2023-02-16
33,Amman,2023-10-24
34,Salt,2023-08-27
35,Mafraq,2024-01-25
36,Madaba,2024-04-09
37,Amman,2024-01-09
38,Amman,2024-01-15
39,Zarqa,2023-08-03
40,Irbid,2024-12-19
41,Amman,2023-03-15
42,Irbid,2024-10-12
43,Amman,2024-06-30
44,Salt,2023-06-17
45,Amman,2024-01-24
46,Zarqa,2024-10-17
47,Amman,2023-08-13
48,Irbid,2023-02-27
49,Irbid,2023-02-02
50,Amman,2024-02-15
51,Mafraq,2023-03-09
52,Aqaba,2024-08-03
53,Salt,2023-08-06
54,Karak,2024-05-26
55,Zarqa,2024-10-20
56,Salt,2023-05-27
57,Amman,2023-05-23
58,Amman,2024-07-28
59,Amman,2023-09-27
60,Amman,2024-03-14
61,Amman,2024-02-13
62,Amman,2023-08-13
63,Madaba,2024-06-05
64,Amman,2023-04-04
65,Amman,2023-04-23
66,Irbid,2024-10-04
67,Amman,2024-11-27
68,Madaba,2024-09-02
69,Amman,2024-01-30
70,Mafraq,2024-09-02
71,Aqaba,2024-06-25
72,Amman,2024-07-20
73,Amman,2024-11-27
74,Madaba,2024-11-29
75,Aqaba,2023-10-01
76,Aqaba,2023-12-15
77,Aqaba,2023-10-28
78,Amman,2023-06-11
79,Amman,2023-01-04
80,Amman,2024-05-27
81,Karak,2024-06-03
82,Zarqa,2024-10-02
83,Amman,2024-10-16
84,Amman,2024-09-15
85,Amman,2023-06-06
86,Amman,2023-06-15
87,Aqaba,2024-06-27
88,Zarqa,2024-09-05
89,Karak,2024-05-15
90,Irbid,2023-04-25
91,Amman,2023-11-11
92,Aqaba,2023-03-01
93,Aqaba,2024-08-03
94,Zarqa,2023-03-29
95,Aqaba,2023-03-12
96,Irbid,2023-05-09
97,Irbid,2024-11-06
98,Irbid,2024-07-16
99,Amman,2023-09-29
100,Amman,2024-09-13
101,Amman,2023-08-05
102,Zarqa,2024-12-07
103,Amman,2023-11-16
104,Irbid,2024-11-18
105,Salt,2024-01-18
106,Amman,2024-06-13
107,Amman,2023-05-04
108,Aqaba,2023-08-19
109,Amman,2023-12-13
110,Amman,2024-08-25
111,Amman,2023-08-24
112,Amman,2023-08-14
113,Salt,2023-03-14
114,Madaba,2023-03-02
115,Zarqa,2023-03-11
116,Karak,2023-12-05
117,Madaba,2024-06-10
118,Amman,2023-10-13
119,Karak,2023-08-08
120,Irbid,2023-05-16
121,Madaba,2024-08-13
122,Karak,2023-09-06
123,Amman,2024-02-21
124,Amman,2023-04-07
125,Amman,2024-11-05
126,Irbid,2023-12-29
127,Madaba,2024-02-25
128,Karak,2023-02-25
129,Amman,2024-10-23
130,Irbid,2023-03-04
131,Amman,2023-12-14
132,Amman,2023-09-12
133,Amman,2023-07-14
134,Amman,2024-04-04
135,Salt,2024-03-08
136,Amman,2023-10-13
137,Irbid,2023-09-13
138,Aqaba,2024-03-29
139,Amman,2023-04-11
140,Mafraq,2024-10-29
141,Mafraq,2023-01-16
142,Amman,2023-08-31
143,Irbid,2024-02-21
144,Amman,2024-05-07
145,Amman,2024-02-15
146,Amman,2023-06-18
147,Zarqa,2023-01-03
148,Irbid,2023-09-29
149,Amman,2023-10-20
150,Amman,2024-12-14
151,Salt,2024-11-08
152,Amman,2023-06-08
153,Amman,2023-10-31
154,Irbid,2023-03-01
155,Mafraq,2024-07-09
156,Amman,2023-11-18
157,Zarqa,2023-02-21
158,Aqaba,2024-05-03
159,Amman,2024-06-27
160,Aqaba,2023-02-28
161,Amman,2023-03-24
162,Zarqa,2023-03-12
163,Zarqa,2023-03-11
164,Irbid,2024-02-18
165,Amman,2024-08-06
166,Madaba,2024-08-15
167,Amman,2023-02-10
168,Amman,2023-03-25
169,Amman,2024-11-04
170,Zarqa,2024-08-01
171,Zarqa,2023-11-20
172,Amman,2023-07-29
173,Irbid,2023-09-02
174,Amman,2024-02-10
175,Zarqa,2024-11-18
176,Amman,2023-11-04
177,Aqaba,2023-11-20
178,Amman,2023-01-10
179,Salt,2024-09-28
180,Amman,2023-04-13
181,Amman,2024-07-04
182,Amman,2024-06-02
183,Salt,2023-05-16
184,Karak,2023-03-12
185,Amman,2024-01-14
186,Zarqa,2023-06-11
187,Madaba,2024-07-10
188,Irbid,2024-09-18
189,Irbid,2024-06-25
190,Amman,2024-11-14
191,Amman,2023-11-03
192,Karak,2023-05-18
193,Salt,2023-04-29
194,Zarqa,2024-07-20
195,Amman,2023-10-06
196,Amman,2024-09-11
197,Aqaba,2023-12-18
198,Karak,2024-12-04
199,Karak,2023-09-28
200,Aqaba,2024-05-15
201,Zarqa,2023-02-22
202,Amman,2024-10-11
203,Amman,2023-10-11
204,Karak,2023-01-04
205,Zarqa,2023-05-14
206,Amman,2023-09-26
207,Amman,2024-03-28
208,Zarqa,2024-12-23
209,Amman,2024-07-28
210,Amman,2023-04-25
211,Irbid,2024-12-08
212,Aqaba,2024-07-12
213,Zarqa,2024-01-14
214,Amman,2024-07-19
215,Aqaba,2024-03-16
216,Amman,2023-02-12
217,Amman,2024-01-09
218,Aqaba,2024-01-02
219,Zarqa,2024-11-29
220,Karak,2024-11-13
221,Zarqa,2023-12-29
222,Zarqa,2024-02-21
223,Amman,2023-06-08
224,Amman,2023-06-16
225,Amman,2024-02-27
226,Amman,2023-07-03
227,Mafraq,2024-02-26
228,Amman,2023-10-01
229,Karak,2024-12-19
230,Zarqa,2024-01-27
231,Madaba,2024-04-26
232,Irbid,2023-07-24
233,Zarqa,2023-12-25
234,Irbid,2023-08-22
235,Amman,2023-01-25
236,Aqaba,2024-02-13
237,Amman,2023-10-13
238,Amman,2023-10-13
239,Zarqa,2024-10-18
240,Amman,2024-02-14
