order_item_id,order_id,product_id,quantity,price,freight_value
1,1,22,1,412.18,22.82
2,1,176,1,199.66,23.02
3,1,63,1,555.18,37.97
4,2,176,1,199.66,22.49
5,3,42,1,145.78,10.85
6,3,54,3,387.71,14.66
7,4,32,1,17.9,1.83
8,5,212,1,619.34,27.32
9,5,15,1,114.86,6.91
10,5,25,1,28.3,2.0
11,6,131,1,203.22,18.68
12,7,232,1,155.86,17.75
13,8,107,1,87.92,7.87
14,9,151,1,116.4,3.58
15,9,104,1,82.65,3.5
16,9,12,1,94.84,6.06
17,10,120,1,44.88,3.25
18,10,69,3,33.1,2.44
19,10,62,1,19.26,0.9
20,11,227,1,49.54,5.39
21,12,150,1,43.62,3.01
22,13,106,1,27.76,1.88
23,13,121,1,272.89,14.65
24,13,136,1,763.13,49.01
25,13,232,1,155.86,12.87
26,14,165,1,6.2,0.72
27,15,191,1,39.7,3.58
28,16,206,1,760.6,60.02
29,16,214,1,211.86,11.99
30,17,228,3,95.03,5.63
31,18,15,1,114.86,13.33
32,19,119,1,69.61,2.89
33,19,217,1,36.43,3.99
34,19,183,2,101.22,10.69
35,19,120,1,44.88,4.84
36,20,178,1,1065.13,54.47
37,21,139,1,488.45,24.11
38,22,235,1,75.26,7.49
39,23,66,3,27.73,2.85
40,24,167,1,139.5,10.28
41,24,223,1,155.25,7.72
42,25,122,1,69.41,4.64
43,26,202,1,130.75,13.1
44,26,162,2,6.54,0.26
45,27,237,1,10.34,0.81
46,28,117,1,45.11,4.52
47,29,137,1,112.97,10.05
48,29,81,2,44.98,3.45
49,29,208,2,113.76,7.12
50,30,235,1,75.26,8.08
51,31,124,1,434.69,26.01
52,32,26,1,16.21,0.54
53,33,55,1,167.62,11.03
54,34,25,1,28.3,0.91
55,35,3,1,51.08,2.78
56,36,52,1,30.53,1.28
57,37,50,1,44.06,1.61
58,38,56,1,38.8,3.76
59,38,151,1,116.4,9.17
60,38,113,1,29.13,3.28
61,38,218,1,62.27,2.4
62,39,225,2,59.74,6.41
63,40,14,1,94.71,3.04
64,41,191,1,39.7,1.55
65,42,182,1,19.48,1.09
66,43,99,1,14.4,1.06
67,44,57,1,185.85,5.86
68,44,72,1,112.92,8.44
69,45,70,1,41.53,1.65
70,45,10,1,26.93,1.35
71,46,176,2,199.66,14.02
72,46,58,1,7.39,0.54
73,47,80,1,37.9,3.9
74,48,6,1,251.86,12.26
75,49,125,1,111.51,7.39
76,50,246,1,30.72,1.08
77,51,183,1,101.22,6.11
78,51,9,1,82.19,3.58
79,52,173,1,57.93,3.86
80,52,121,1,272.89,8.32
81,52,104,1,82.65,7.62
82,53,59,1,105.0,6.11
83,54,107,1,87.92,6.46
84,54,35,1,76.68,6.13
85,54,232,1,155.86,15.05
86,55,232,1,155.86,10.65
87,55,29,1,617.47,22.83
88,55,88,1,2.59,0.11
89,56,241,1,40.34,1.93
90,56,67,1,53.0,5.74
91,56,116,1,53.02,2.13
92,56,243,1,83.89,9.2
93,57,47,2,18.06,1.76
94,58,214,1,211.86,8.6
95,58,97,1,244.48,29.24
96,58,245,1,178.52,16.92
97,58,157,1,234.71,25.64
98,59,33,1,30.54,2.47
