order_id,customer_id,order_date,status,delivery_days
1,1,2024-10-19T13:27:16,delivered,1.0
2,1,2024-11-01T16:31:26,delivered,4.0
3,1,2024-10-31T16:10:49,delivered,5.0
4,2,2023-11-07T04:14:24,delivered,3.0
5,2,2023-09-10T02:42:25,delivered,3.0
6,2,2024-12-14T02:41:50,canceled,
7,2,2023-03-06T15:46:43,delivered,1.0
8,3,2024-02-17T06:55:55,shipped,
9,3,2023-09-26T23:06:04,canceled,
10,3,2023-12-29T07:07:27,delivered,7.0
11,4,2023-10-04T07:13:47,canceled,
12,4,2024-11-01T07:47:54,delivered,1.0
13,5,2024-12-06T06:29:05,delivered,2.0
14,5,2024-12-23T19:18:48,canceled,
15,5,2024-12-12T08:26:34,delivered,2.0
16,5,2024-12-18T21:46:00,delivered,4.0
17,5,2024-12-11T15:16:37,delivered,1.0
18,5,2024-11-30T06:24:54,delivered,7.0
19,5,2024-12-15T14:29:38,canceled,
20,5,2024-12-31T15:00:02,canceled,
21,5,2024-12-11T09:45:17,shipped,
22,6,2024-05-22T02:12:49,shipped,
23,6,2024-02-19T14:58:20,delivered,4.0
24,7,2024-07-19T01:59:20,delivered,1.0
25,7,2024-03-31T11:13:57,delivered,9.0
26,7,2024-06-01T19:30:56,delivered,9.0
27,7,2024-08-23T04:42:16,shipped,
28,8,2023-02-21T13:48:20,delivered,2.0
29,9,2024-02-08T20:07:48,delivered,7.0
30,9,2023-10-31T19:30:15,delivered,1.0
31,10,2024-12-23T05:52:35,delivered,5.0
32,10,2024-12-05T09:03:18,delivered,7.0
33,10,2024-10-13T03:43:57,shipped,
34,10,2024-07-11T10:18:25,delivered,2.0
35,10,2024-11-24T09:00:15,delivered,4.0
36,11,2024-02-18T23:51:28,delivered,3.0
37,12,2024-04-24T03:05:30,delivered,3.0
38,12,2024-09-20T00:44:01,delivered,4.0
39,13,2024-12-25T07:04:25,shipped,
40,13,2024-12-25T18:39:15,canceled,
41,13,2024-12-23T16:42:29,delivered,12.0
42,13,2024-12-28T17:09:47,delivered,2.0
43,14,2024-09-29T20:25:30,delivered,2.0
44,15,2024-12-19T08:54:22,delivered,6.0
45,15,2024-10-11T19:54:01,canceled,
46,16,2023-10-24T14:28:01,delivered,12.0
47,16,2024-03-19T12:06:12,delivered,4.0
48,16,2023-11-29T20:25:16,delivered,7.0
49,17,2024-02-23T03:03:15,delivered,2.0
50,18,2024-09-07T20:37:50,delivered,3.0
51,18,2024-07-12T11:20:23,canceled,
52,18,2024-05-27T20:34:56,shipped,
