product_id,category,unit_price,weight_g
1,Furniture,826.88,3680
2,Toys & Games,120.72,2147
3,Fashion,51.08,5956
4,Toys & Games,95.98,6886
5,Toys & Games,88.33,1907
6,Sports & Outdoors,251.86,748
7,Toys & Games,136.48,5222
8,Beauty & Personal Care,6.03,4332
9,Mobile Accessories,82.19,6715
10,Sports & Outdoors,26.93,2432
11,Furniture,685.7,6725
12,Sports & Outdoors,94.84,3482
13,Beauty & Personal Care,31.08,7091
14,Home & Kitchen,94.71,1594
15,Fashion,114.86,2472
16,Home & Kitchen,90.17,5317
17,Groceries,29.84,5160
18,Groceries,17.37,2329
19,Mobile Accessories,11.93,4130
20,Beauty & Personal Care,71.62,2726
21,Electronics,285.75,1346
22,Electronics,412.18,4482
23,Electronics,629.48,1623
24,Home & Kitchen,89.79,2411
25,Sports & Outdoors,28.3,1124
26,Groceries,16.21,6056
27,Electronics,852.23,2007
28,Home & Kitchen,164.02,1334
29,Electronics,617.47,4143
30,Beauty & Personal Care,58.74,2900
31,Toys & Games,34.65,2652
32,Groceries,17.9,3142
33,Groceries,30.54,5809
34,Electronics,127.18,2805
35,Home & Kitchen,76.68,7010
36,Fashion,55.53,559
37,Sports & Outdoors,136.42,6454
38,Toys & Games,147.17,684
39,Furniture,136.95,3951
40,Fashion,97.22,1674
41,Sports & Outdoors,63.66,6794
42,Toys & Games,145.78,6885
43,Electronics,137.44,1099
44,Beauty & Personal Care,39.31,3252
45,Groceries,30.04,2124
46,Electronics,645.92,1731
47,Groceries,18.06,6123
48,Home & Kitchen,93.17,4369
49,Beauty & Personal Care,38.8,3973
50,Toys & Games,44.06,5682
51,Sports & Outdoors,71.14,7769
52,Books & Stationery,30.53,1399
53,Electronics,270.94,6200
54,Furniture,387.71,4367
55,Home & Kitchen,167.62,2175
56,Groceries,38.8,5330
57,Sports & Outdoors,185.85,1727
58,Books & Stationery,7.39,7370
59,Electronics,105.0,7175
60,Beauty & Personal Care,85.87,1025
61,Beauty & Personal Care,30.27,5284
62,Toys & Games,19.26,2758
63,Electronics,555.18,1471
64,Sports & Outdoors,191.61,4889
65,Home & Kitchen,165.64,3342
66,Beauty & Personal Care,27.73,173
67,Electronics,53.0,4860
68,Groceries,38.67,5739
69,Mobile Accessories,33.1,1369
70,Books & Stationery,41.53,6414
71,Home & Kitchen,179.59,2137
72,Fashion,112.92,4195
73,Home & Kitchen,85.1,5719
74,Mobile Accessories,35.45,2872
75,Electronics,553.99,589
76,Books & Stationery,52.37,5380
77,Fashion,170.84,5845
78,Furniture,180.73,6583
79,Home & Kitchen,47.16,1130
80,Groceries,37.9,2006
81,Books & Stationery,44.98,4674
82,Books & Stationery,53.33,6698
83,Groceries,9.7,6106
84,Beauty & Personal Care,54.94,274
85,Toys & Games,106.96,3034
86,Fashion,124.98,2153
87,Electronics,391.01,4075
88,Groceries,2.59,4679
89,Sports & Outdoors,179.88,4546
90,Groceries,11.62,1654
91,Mobile Accessories,56.23,1628
92,Furniture,1151.64,2948
93,Books & Stationery,25.75,6099
94,Groceries,33.91,2355
95,Mobile Accessories,25.87,7591
96,Furniture,826.6,1413
97,Home & Kitchen,244.48,4451
