order_id,review_score
1,5
2,5
3,4
10,4
12,5
13,5
15,5
16,4
17,5
18,5
22,4
23,4
24,4
25,3
28,5
29,3
30,5
31,3
32,2
33,4
34,4
35,3
38,4
42,4
44,3
46,4
50,5
53,5
55,4
56,4
57,5
58,5
59,5
61,1
62,5
64,2
65,4
68,1
69,5
70,4
71,4
73,5
74,5
75,4
79,4
81,5
82,4
83,5
85,3
86,5
87,5
88,5
90,5
92,5
93,3
95,2
96,4
98,5
100,5
101,4
102,4
103,4
104,5
107,4
108,3
110,4
112,4
113,4
114,5
115,5
116,3
117,4
118,5
119,4
120,2
122,3
123,5
124,5
125,5
128,3
130,5
132,3
133,5
134,5
135,5
137,4
138,5
139,4
140,5
143,5
144,5
145,5
146,4
147,5
149,5
150,3
152,5
153,4
154,3
157,2
159,3
160,4
162,4
163,5
167,5
168,4
169,5
175,5
176,5
177,5
178,5
179,4
184,5
185,3
187,3
188,4
191,4
193,4
197,3
198,5
199,1
201,5
202,3
203,2
205,5
206,2
208,5
209,5
211,4
212,5
217,5
218,5
219,3
220,5
222,5
223,5
224,5
227,4
228,4
229,2
230,4
234,4
236,5
237,3
238,3
239,4
240,5
241,5
242,4
244,5
245,5
247,2
249,5
250,5
251,4
252,2
254,3
255,5
257,5
260,3
261,5
262,3
263,5
264,4
265,4
266,5
268,3
269,5
270,4
271,5
272,3
273,3
277,5
279,3
280,5
281,3
282,3
283,4
285,5
286,2
287,4
288,5
289,4
290,5
291,3
293,4
295,5
296,3
297,4
299,5
300,3
301,5
302,3
304,5
305,4
306,5
307,5
308,5
309,3
311,5
312,5
313,5
314,1
316,5
317,3
318,2
319,5
321,5
323,3
326,4
329,5
331,4
332,3
334,3
335,5
338,5
344,5
345,4
347,5
350,5
351,4
352,5
353,5
354,3
356,2
359,5
360,3
361,3
364,3
368,2
369,4
371,2
372,5
373,4
377,5
379,5
381,3
383,4
385,5
387,1
391,5
393,5
394,5
395,4
396,4
397,4
399,5
400,4
401,4
402,5
403,5
405,2
406,4
407,3
408,4
411,5
415,5
417,3
418,4
420,3
421,4
422,4
423,2
427,3
428,5
429,3
430,5
431,5
433,3
434,5
435,2
436,3
437,5
441,4
443,4
447,3
448,2
451,5
453,4
457,4
458,1
459,4
460,5
463,3
464,3
465,5
467,5
471,5
473,5
474,5
480,3
485,4
486,5
487,4
488,4
489,5
490,5
491,3
493,3
494,4
495,4
498,2
500,4
502,4
503,4
506,4
507,5
508,4
509,2
510,3
511,5
512,5
514,3
517,5
518,5
520,5
521,5
524,5
527,5
528,3
529,3
530,5
532,4
534,4
535,3
536,5
537,5
538,4
539,5
540,2
542,5
543,5
544,3
545,2
546,4
547,5
548,5
549,5
551,5
553,4
556,5
557,2
558,4
559,2
562,5
563,5
564,4
566,5
567,3
568,5
569,4
571,4
574,5
576,5
579,3
581,5
582,4
583,3
586,2
592,1
593,4
594,3
595,5
597,5
598,3
599,5
600,4
601,4
603,5
605,5
606,3
608,4
609,4
614,5
615,5
617,4
618,4
620,5
621,5
623,5
624,4
625,4
627,5
628,2
631,3
632,3
635,3
637,5
639,2
643,2
644,5
645,4
646,5
647,4
648,4
650,3
654,2
657,2
659,4
660,3
661,5
662,5
663,5
664,4
665,5
667,4
668,3
669,3
670,5
671,4
672,5
673,5
674,2
675,4
676,4
678,5
680,3
681,3
682,4
683,5
685,5
686,5
687,4
688,1
689,5
691,3
692,3
693,2
694,5
695,5
696,5
697,5
700,5
701,5
702,5
704,2
705,5
708,2
709,5
711,4
712,3
713,5
718,2
719,5
720,3
723,5
725,5
727,4
728,5
729,5
730,5
731,4
734,5
735,1
736,4
737,5
738,5
739,5
744,5
745,5
746,5
749,3
753,4
759,4
761,4
766,3
767,5
768,5
771,4
773,4
774,1
776,5
779,5
782,5
783,3
786,5
787,3
788,4
790,4
793,4
795,4
796,5
799,5
800,5
801,5
804,4
805,4
806,5
807,4
808,4
809,5
810,4
811,3
814,5
815,4
817,4
818,1
819,4
820,4
821,3
823,2
827,3
828,5
829,5
832,5
836,5
837,5
838,4
839,4
840,5
841,5
843,3
845,5
846,3
848,5
849,3
850,3
851,3
853,3
854,2
856,5
859,4
864,3
866,5
867,5
869,4
870,5
873,5
874,5
877,4
880,4
881,4
882,5
883,4
884,4
885,4
886,3
890,2
893,5
894,3
895,5
896,3
897,4
898,5
899,5
900,5
902,4
903,5
904,2
905,4
908,4
909,5
911,5
912,5
914,5
915,4
918,2
919,4
921,5
922,3
923,1
924,5
925,5
929,4
932,5
935,5
936,5
939,3
941,5
942,5
943,4
944,3
945,5
947,5
951,5
952,5
953,5
954,3
956,4
959,3
960,5
962,5
963,3
966,3
968,5
971,4
972,4
976,5
977,5
978,3
979,4
980,3
982,3
984,4
985,4
986,3
988,4
991,5
992,4
994,4
995,5
996,4
997,5
998,3
1000,4
1001,3
1002,5
1003,4
1004,5
1005,4
1006,4
1007,5
1008,5
1009,4
1011,5
1012,5
1013,5
1019,5
1020,5
1021,5
1023,4
1025,1
1026,5
1027,5
1030,3
1031,4
1032,3
1034,2
1036,3
1038,5
1039,4
1041,2
1042,5
1043,3
